,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Pakistan,1126.89,1419.82,1023.03,1062.79,1607.63,822.82,1039.17,902.09,1060.41,747.67,706.57,1946.77,2109.22,1072.78,1434.14,1616.73,2178.77,2294.21,1500.11,2762.39,3020.7,3498.04,2017.41,2194.47,3615.82,3747.53,2952.86
Palau,..,..,0.01,0.01,201.89,142.32,63.02,38.38,89.12,28.84,39.13,34.28,31.46,25.83,19.78,23.67,37.39,22.41,42.94,35.62,28.75,27.98,15.46,35.42,23.48,13.93,17.69
Panama,99.34,103.61,156.74,71.1,32.27,40.35,49.92,46.2,23.7,15.51,17.36,27.75,22.14,27.48,22.46,20.23,32.68,-133.69,29.74,62,127.16,110.17,51.35,9.21,-193.26,10.25,22.61
Papua New Guinea,412.4,398.39,446.17,307.01,323.94,371.26,382.42,346.47,361.63,216.03,275.21,202.91,202.32,221.21,268.98,266.75,279.93,325.49,302.14,401.51,512.4,612.78,670.27,657.44,581.91,591.39,527.9
Paraguay,57.19,145.39,98.13,128.69,95.11,139.34,88.48,108.14,76.73,80.25,83.44,63.21,58.48,52.4,22.31,51.22,56.08,108.01,134.82,148.69,121.01,93.08,104.57,130.71,62.42,60.18,88.92
Peru,397.08,610.52,406.78,565,334.87,372.12,328.9,393.24,498.01,447.37,401.55,453.69,491.54,499.94,469.38,455.67,459.68,314.57,468.61,437.75,-296.31,597.81,385.56,363.66,328.3,334.83,320.21
Philippines,1270.62,1050.25,1719.54,1490.32,1063.85,912.33,908.15,679.87,613.98,686.24,575.14,571.83,553.4,716.19,450.15,567.71,570,609.28,38.29,307.89,541.34,-183.73,-3.37,192.06,677.44,515.31,286.85
Qatar,2.97,2.88,2.92,3.77,3.22,3.74,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Rwanda,287.92,359.16,348.93,353.91,711.75,694.7,465.31,229.73,350.13,373.14,321.46,304.66,359.59,335.96,491.14,572.71,605.39,780.04,935.5,934.25,1033.09,1263.21,878.64,1086.29,1035.03,1085.33,1148.36
Saint Helena,24.74,15.38,15.8,14.77,14.12,12.59,15.88,15.07,15.75,13.78,18.67,15.17,13.92,17.98,26.25,22.55,28.13,44.09,65.95,34.77,53.67,83.94,168.23,138.82,131.35,81.92,106.49
Saint Kitts and Nevis,8.12,7.51,8.07,10.77,6.21,3.9,6.83,7.23,6.69,4.76,3.99,10.13,28.1,0.09,-0.08,2.61,5.24,3.44,46.82,3.21,11.48,15.76,21.74,30.05,..,..,..
Saint Lucia,12.31,23.12,27.12,25.63,31.5,48.22,38.58,25.46,6.21,25.74,11.09,16.33,33.29,15.56,-21.67,10.68,18.64,19.44,16.69,38.99,41.15,35.29,26.8,25.36,19.37,13.76,15.23
Saint Vincent and the Grenadines,15.37,15.93,18.13,13.69,12.62,47.64,26.32,5.94,20.66,16.49,6.3,8.12,4.57,6.27,10.58,7.86,4.8,65.85,26.28,28.78,16.85,17.76,8.31,8.52,9.89,13.5,9.18
Samoa,47.55,56.92,49.12,52.41,48.27,43.2,32.35,27.41,35.95,23.4,27.5,43.12,37.48,33.24,31.05,43.68,47.14,37.47,41.02,74.71,148.2,97.71,117.29,113.01,93.99,93.72,87.64
Sao Tome and Principe,54.12,51.01,56.43,46.49,49.93,84.09,47.4,33.42,28.06,27.52,34.94,38.18,26.09,37.85,33.68,32.7,23.06,51.07,47.29,30.46,50.19,73.48,50.7,53.75,41.38,48.95,47.03
Saudi Arabia,14.66,13.79,49.81,29.07,16.72,16.99,14.08,1.38,16.59,22.15,21.96,13.11,16.78,13.79,20.24,25.11,24.3,-131.07,..,..,..,..,..,..,..,..,..
Senegal,811.73,627.52,662.38,493.12,635.49,652.34,573.88,424.53,502.08,535.98,432.15,423.58,445.28,458.28,1066.34,701.35,869.36,865.33,1065.83,1017.99,936.4,1054.6,1075.78,994.48,1108.68,879.12,736.39
Serbia,..,..,..,..,49.22,95.06,69.51,97.36,108.23,707.4,1134.27,1304.18,2084.64,1310.48,1159.7,1068.49,1579.59,842.46,975.89,623.14,661.47,1379.17,1087.78,780.27,367.05,312.48,633.42
Seychelles,35.56,22.74,19.45,19.74,13.07,13.19,19.26,17.2,24.35,13.32,23.6,13.41,57.93,9.39,10.63,17.2,13.71,6.08,7.49,23.16,53.93,22.72,34.75,27.42,12,6.78,5.71
Sierra Leone,59.32,103.27,133.06,206.47,273.73,212.27,182.52,118.01,106.53,73.73,180.64,334.63,383.21,337.17,376.23,339.98,380.34,550.53,379.34,447.29,458.3,423.89,439.75,449.07,914.03,946.33,693.15
Singapore,-3.1,7.77,19.94,23.64,16.86,16.66,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Slovenia,..,..,..,7.14,31.87,52.54,82.2,96.62,39.76,31.05,60.81,125.56,52.76,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Solomon Islands,45.66,36.61,45.57,56.13,47.89,47.69,42.62,41.77,42.63,39.67,68.25,58.77,26.18,60.14,121.32,198.4,204.64,246.18,224.31,204.96,340.49,339.39,305.1,289.83,200.52,190.03,181.5
Somalia,514.81,186.42,653.66,892.12,535.12,187.93,88.18,81.18,81.32,115.7,102.23,149.3,152.72,176.18,201.28,240.22,396.17,393.74,765.87,661.64,505.68,1098.98,990.46,1054.58,1109.2,1253.37,1169.4
South Africa,..,..,..,270.45,293.08,386.17,362.34,495.59,515.64,543.27,490.01,428.88,506.96,642.15,631.61,681.23,723.24,795.12,1114.91,1074.18,1036.27,1396.97,1065.83,1295.34,1077.4,1420.27,1181.39
South Sudan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,435.83,1186.26,1399.3,1964.12,1674.83,1590.1
Sri Lanka,728.34,889.08,640.43,664.87,601.67,554.62,487.12,332.81,427.36,264.69,278.43,336.29,338.34,675.6,510.05,1164.9,788.09,609.76,721.84,704.2,579.62,613.46,490.89,403.17,491.63,427.23,365.12
States Ex-Yugoslavia,46.03,158.06,1465.31,2500.73,1016,435.87,275.75,68.86,106.32,437.51,306.69,140.25,837,116.92,98.58,64.24,141.94,54.94,51.33,17.47,17.64,16.51,3.75,4.33,9.5,6.43,6.07
Sudan,848.24,867.11,536.31,447.9,408.29,237.43,218.1,138.94,211.21,246.34,225.29,192.26,304.93,620.23,994.58,1826.11,2048.44,2120.59,2566.43,2352.47,2025.85,1742.4,1369.13,1507.33,874.68,899.78,810.4
Suriname,61.13,43.56,79.7,78.83,60.13,76.72,109.07,76.21,58.85,35.17,36.64,25.15,13.44,12.71,25.74,44.04,64.01,151.07,101.64,156.64,103.81,89.86,40.35,30.82,13.39,15.98,16.53
Swaziland,53.63,52.92,56.01,54.21,57.78,57.75,33.05,28.44,34.96,29.15,13.13,29.15,22.16,34.19,21.92,46.71,34.78,50.67,70.01,55.77,91.14,124.09,89.62,117.79,86.37,92.63,147.45
Syrian Arab Republic,882.82,535.49,196.74,258.58,744.02,355.97,215.99,198.11,156.02,229.37,159.76,153.68,62.82,118.39,106.51,71.1,19.92,84.2,157.74,203.62,131.06,335.52,1671.6,3637.93,4174.31,4889.74,8869.64
Tajikistan,..,..,11.84,25.96,66.5,65.08,103.14,85.94,160.59,122.5,124.09,165.56,168.8,147.98,248.54,252.44,241.98,234.77,287.43,405.8,433.13,349.12,394.23,390.55,356.46,426.35,333.7
Tanzania,1163.15,1073,1334.08,944.43,963.57,871.05,867.21,943.85,1001.5,991.94,1064.25,1274.9,1260.43,1725.76,1774.2,1492.45,1887.65,2823.81,2331.15,3127.2,2960.31,2441.83,2822.23,3433.24,2650.52,2582.24,2317.86
Thailand,795.58,713.56,740.32,582.59,578.5,838.95,830.04,623.23,698.21,1014.14,698.58,282.15,295.21,-941.59,48.86,-167.49,-217.04,-310.99,-618.72,-75.78,-20.36,-134.12,-131.37,28.79,354.51,58.67,227.76
Timor-Leste,0.1,0.94,0.13,0.42,0.23,0.02,0.08,0.43,1.67,152.82,231.27,194.17,219.05,175.03,161.24,184.62,209.14,279.96,277.7,216.6,291.46,278.71,283.64,258.57,249.54,212.29,227.7
Togo,258.24,199.27,222.43,95.82,124.65,191.34,155.4,125.13,128.46,71.53,69.63,46.09,51.13,50.09,65.13,82.61,79.83,122.49,330.14,494.51,403.38,542.38,245.08,226.32,210.94,199.59,164.97
Tokelau,4.78,4.44,4.27,2.87,3,3.73,4.88,4.41,3.58,4.66,3.52,3.88,4.78,6.42,8.44,15.98,10.93,12.89,21.43,9.82,14.6,20.04,18.74,24.06,18.69,8.73,9.09
Tonga,29.75,19.29,23.7,31.23,35.16,38.84,32,27.52,24.68,21.19,18.93,20.38,22.48,27.73,19.53,32,21.56,30.93,25.71,37.35,70.42,93.48,78.18,81.09,80.33,68.4,79.72
Trinidad and Tobago,17.78,-2.21,7.46,1.43,21.14,24.86,16.5,33.03,13.78,26.2,-1.53,-1.73,-8.58,-3,-2.02,-1.98,13.39,20.8,9.29,6.84,4.33,..,..,..,..,..,..
Tunisia,392.54,354.46,387.99,243.2,105.79,75.39,126.86,195.22,150.96,253.43,222.84,366.22,217.35,301.67,333.69,368.35,436.85,326.49,378.76,493.69,550.15,925.23,1022.13,714.66,922.7,474.54,627.43
Turkey,1303.85,1610.03,356.27,447.73,198.35,313.56,246.08,6.76,28.09,12.45,328.57,133.26,273.44,167.64,288.88,399.33,569.26,795.66,1117.48,1356.24,1049.59,3288.27,3112.17,2847.84,3446.77,2145.22,3613
Turkmenistan,..,..,6.59,31.09,26.58,30.7,23.64,20.82,27.53,25.35,35.53,74.93,44.11,28.84,54.04,29.05,41.11,28.77,18.15,40.68,43.8,40.82,37.66,35.91,34.48,23.62,32.99
Turks and Caicos Islands,11.6,17.5,14.8,10.9,15.79,5.55,4.18,4.2,6.02,7.38,6.65,6.67,4.1,2.2,3.15,5.2,-0.42,15.39,..,..,..,..,..,..,..,..,..
Tuvalu,5.06,5.01,8.06,4.25,7.37,7.85,10.34,10.13,5.19,6.78,4.03,9.51,11.71,6.31,8.07,9.12,15.41,11.81,16.2,17.71,14.01,38.91,25.48,27.59,34.3,49.65,33.67
Uganda,663.1,663.28,724.95,609.99,751.97,833.96,674.88,813.44,658.1,607.68,855.93,828.94,732.98,1003.71,1222.24,1195.33,1589.23,1738.15,1643.39,1786.35,1690.14,1572.92,1642.5,1697.09,1633.68,1628.2,1757.13
Ukraine,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,404.1,484.63,420.98,617.35,654.72,656.65,777.93,772.06,790.74,1403.82,1449.35,1523.13
United Arab Emirates,3.54,-7.66,-9.73,-10.17,-8.03,5.41,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Uruguay,52.43,48.82,68.78,112.54,73.36,66.26,35,34.99,24.82,22.66,18.59,16.22,14.41,16.4,23.66,17.62,23.84,37.15,33.07,52.16,47.52,18.93,17.36,36.52,91.57,23.18,18.36
Uzbekistan,..,..,1.51,7.98,28.25,83.72,87.69,139.88,158.5,156.34,186.44,154.09,190.18,195.45,245.76,169.07,149.76,167.85,183.6,190.65,234.44,204.1,255.91,295.16,324.67,447.81,457.36
Vanuatu,49.53,52.24,39.83,34.98,41.72,45.58,31.07,27.23,40.71,37.28,45.8,31.62,27.52,32.66,38.2,39.89,49.01,56.84,92.41,100.15,107.86,91.09,101.94,91.34,100.41,186.56,128.64
Venezuela,76.36,28.11,33.39,40.75,26.2,43.32,37.78,9.01,42.37,44.66,78.56,46.66,58.55,82.81,46.97,49.17,57.69,73.52,60.69,59.43,53.34,49.78,50.79,37.83,43.13,36.59,43.37
Viet Nam,180.55,227.3,566.22,252.61,904.3,834.8,937.21,999.46,1178.54,1429.86,1682.99,1431.86,1276.12,1767.59,1837.33,1910.9,1852.32,2510.44,2549.02,3738.59,2948.09,3619.28,4113.31,4085.6,4215.62,3157.36,2893.13
Wallis and Futuna,0.93,1.51,0.78,0.01,0.06,0.95,1.56,0.55,47.28,50.4,52.14,50.33,52.73,55.5,72.8,72.03,102.38,117.11,130.53,117.67,127.44,130.12,120.01,105.53,99.52,106.14,84.86
West Bank and Gaza Strip,..,..,..,178.74,471.98,514.11,552.41,613.03,612.57,580.55,684.5,997.59,971.61,1041.84,1160.84,1015.71,1360.25,1717.11,2470.08,2827.67,2512.56,2434.74,2006.11,2602.33,2487.84,1871.21,2401.79
Yemen,449.83,296.35,253.77,313.74,171.7,171.79,252.27,355.4,394.24,460.83,312.8,371.83,216.5,244.06,266.51,296,287.81,242.9,429.12,559.3,667.08,477.55,711.82,1039.63,1163.44,1531.38,1926.41
Zambia,474.81,877.97,1030.78,866.92,715.13,2030.67,608.06,609.69,348.15,623.21,794.65,570.84,810.73,770.45,1128.45,1169.05,1470.27,1022.49,1114.7,1270.82,919.32,1033.47,957.14,1145.25,997.73,797.14,962.58
Zimbabwe,334.26,388.68,790.18,499.31,561.38,491.5,371.76,336.64,261.34,244.63,175.64,160.21,199.13,186.92,187.3,372.94,278.24,477.46,612.75,736.55,712.53,722.58,1001.59,827.54,760.57,788.29,654.67
